alpha,coord0,coord1,coord2,coord3,coord4,coord5,coord6,coord7,coord8,coord9,coord10,time
0.9604199999999998,"(0.0, 0.0)","(0.048085094482453475, -0.0018492174580897716)","(0.0989472394824823, -0.0077047072870101135)","(0.15286801243673231, -0.01812019098937863)","(0.2102698948335765, -0.03382267800503784)","(0.2718090270821921, -0.05581685634210287)","(0.33856006360563645, -0.08558809028654035)","(0.41243543262927435, -0.1255514648209215)","(0.4973450306725379, -0.18026244271641947)","(0.6038011496443353, -0.26109495533238025)","(0.8475458175798807, -0.4819163524194617)",0.007406699936836958
1.0204149999999998,"(0.0, 0.0)","(0.04778440762665072, -0.001911824720368937)","(0.09833265232235011, -0.007967699577194433)","(0.15190463263026166, -0.018743323822271517)","(0.2088954056179027, -0.034993713793300185)","(0.26992486004523236, -0.057761412867853856)","(0.3360166755635525, -0.08858691546309377)","(0.40900476490093773, -0.12997412142884132)","(0.49265902584705473, -0.18664516354081864)","(0.5971614975207826, -0.2703888582360595)","(0.8351701420280209, -0.49921095671442944)",0.01110030000563711
1.0804099999999999,"(0.0, 0.0)","(0.04748253736400241, -0.0019695551198321984)","(0.09771587785172832, -0.008210509253548654)","(0.15093895892566056, -0.019319326610431616)","(0.2075202666969302, -0.036077446977494626)","(0.26804449472205755, -0.059563099870827696)","(0.3334857336827635, -0.09136873266897667)","(0.4056013694853139, -0.13408192959518994)","(0.4880246220534707, -0.19258182436780963)","(0.5906147344591431, -0.27904777153966154)","(0.823013888503901, -0.5153734010634641)",0.007232600008137524
1.140405,"(0.0, 0.0)","(0.047180309550914255, -0.002022748423004972)","(0.09709858593119981, -0.008434530141046826)","(0.14997356384270027, -0.019851432719315713)","(0.20614806604156713, -0.03707984228312603)","(0.26617272143833354, -0.06123166692776548)","(0.330973523486972, -0.09394838618167219)","(0.4022334830148193, -0.13789657600557723)","(0.48345274959637574, -0.1981035534532066)","(0.5841758904129142, -0.287117014159983)","(0.8111037695990022, -0.5304890908188238)",0.006768499966710806
1.2004,"(0.0, 0.0)","(0.04687842000081375, -0.0020717278459305515)","(0.0964821791824904, -0.008641088807754917)","(0.14901059198217564, -0.02034271997994883)","(0.20478175933140075, -0.038006576364966044)","(0.2643134241764449, -0.06277638715275648)","(0.32848504502505504, -0.09633998004790127)","(0.3989075196706558, -0.14143863422079264)","(0.47895173006746644, -0.20323981977408778)","(0.5778561391366089, -0.29463937181970523)","(0.7994589465301051, -0.5446382683007629)",0.007141600013710558
1.2603949999999997,"(0.0, 0.0)","(0.04657745255534536, -0.00211679826434715)","(0.09586783071721813, -0.00883143714142554)","(0.14805182225153318, -0.02079609345155809)","(0.2034237654607292, -0.03886300631838206)","(0.2624697231521995, -0.06420600683011354)","(0.3260242230950906, -0.09855680404119392)","(0.39562837977316906, -0.14472746187580635)","(0.474527731729992, -0.20801829557009932)","(0.5716634901062367, -0.30165491602505135)","(0.7880924794653718, -0.5578957377843257)",0.006746199913322926
1.3203899999999997,"(0.0, 0.0)","(0.046277895055481084, -0.0021582454171099777)","(0.09525651738677365, -0.009006749007106796)","(0.14709872244112568, -0.021214277653361202)","(0.2020760498182507, -0.03965415563868681)","(0.2606440984035324, -0.06552872349363163)","(0.3235940884734867, -0.10061130275478666)","(0.39239971452363903, -0.14778116053305518)","(0.4701851585294568, -0.2124648080948882)","(0.5656033772498553, -0.30820095140954346)","(0.7770124181262968, -0.5703308260535389)",0.007821100065484643
1.3803849999999998,"(0.0, 0.0)","(0.04598015329359814, -0.0021963358128545252)","(0.09464904874993667, -0.009168119796121229)","(0.14615249655032123, -0.021599815502721408)","(0.20074019609133353, -0.04038471251977235)","(0.25883849572170275, -0.0667521840709042)","(0.32119693239657665, -0.10251507500491344)","(0.38922415056831106, -0.15061657933796307)","(0.46592697863565435, -0.2166033533291456)","(0.5596791541559167, -0.3143120514869546)","(0.7662228818035782, -0.5820075027398155)",0.007548400084488094
1.4403799999999998,"(0.0, 0.0)","(0.04568456309627951, -0.002231317119216517)","(0.09404609209310079, -0.009316567960939213)","(0.14521412547720422, -0.021955071857592674)","(0.19941746765051288, -0.04105903660874199)","(0.2570544166735065, -0.06788349673168617)","(0.3188344371081767, -0.10427889383178414)","(0.38610347882079715, -0.15324934823837194)","(0.46175499946344273, -0.22045615114432224)","(0.5538925068851877, -0.3200201528614395)","(0.7557248790779679, -0.592984603869056)",0.007514099939726293
1.5003749999999998,"(0.0, 0.0)","(0.04539140072386962, -0.002263418870211083)","(0.09344819390885561, -0.00945303786129036)","(0.14428440178879884, -0.02228224009771442)","(0.19810885970260247, -0.04168117132755536)","(0.2552929946217813, -0.06892925171620462)","(0.316507785466279, -0.10591273990216478)","(0.3830388121710681, -0.1556939302508899)","(0.4576700963081996, -0.2240437268236035)","(0.548243795662443, -0.32535468595679407)","(0.7455169049118613, -0.6033161177868166)",0.008088400005362928
