alpha,coord0,coord1,coord2,coord3,coord4,coord5,coord6,coord7,coord8,coord9,coord10,time
0.06049499999999999,"(0.0, 0.0)","(0.05129848405842005, -0.00015631903819026194)","(0.10553532296587219, -0.0006494414079761913)","(0.16328020681612213, -0.0015236004118060924)","(0.2253158392102805, -0.00283794307773499)","(0.292769402040932, -0.0046753073374412885)","(0.36737135940992466, -0.0071592668681264016)","(0.4520354434029935, -0.010491795267966612)","(0.5524442207590635, -0.015054725572413908)","(0.6832711908856073, -0.021801523322244984)","(0.9990268059487056, -0.04026273889357922)",0.007520799990743399
0.0664945,"(0.0, 0.0)","(0.05129470071426111, -0.00017176161881680616)","(0.10552753840574618, -0.0007136013510067456)","(0.16326779618313395, -0.0016741252293703372)","(0.22529767323507646, -0.0031183254620202384)","(0.29274369678981743, -0.005137224525069615)","(0.3673354252221262, -0.007866603570080073)","(0.45198521480991266, -0.011528386909085177)","(0.5523732061211354, -0.01654212354849942)","(0.6831672184684037, -0.023955459932642458)","(0.9988248830994293, -0.04424040162825131)",0.006841199938207865
0.072494,"(0.0, 0.0)","(0.051290563545495764, -0.00018718724852933284)","(0.10551902591344382, -0.0007776915352259128)","(0.16325422536728407, -0.0018244876647841872)","(0.22527780974818537, -0.00339840720910238)","(0.2927155906925623, -0.005598648514890935)","(0.3672961365430076, -0.008573186752144519)","(0.4519302996964652, -0.012563874488627641)","(0.5522955686835394, -0.018027933949261086)","(0.683053553903005, -0.026107086090727063)","(0.9986041477493759, -0.04821374266119021)",0.0062052999855950475
0.0784935,"(0.0, 0.0)","(0.0512860735324559, -0.00020259443907646036)","(0.10550978753080287, -0.0008417058356299348)","(0.1632394977124079, -0.0019746734602656903)","(0.22525625383029324, -0.0036781619226387294)","(0.29268509125068515, -0.006059536006789158)","(0.36725350432035175, -0.009278950267743788)","(0.45187071399732215, -0.013598161106061315)","(0.5522113318127747, -0.01951201747219921)","(0.682930232542893, -0.02825619913325117)","(0.9983646713411793, -0.05218238315891891)",0.007200699998065829
0.084493,"(0.0, 0.0)","(0.05128123173611493, -0.00021798171268831715)","(0.10549982546755614, -0.0009056381702637737)","(0.16322361683710346, -0.0021246684581860435)","(0.22523301097919468, -0.003957563391903483)","(0.2926522065809783, -0.006519844005983339)","(0.36720754039907355, -0.009983828438919366)","(0.4518064749518858, -0.014631150551959066)","(0.5521205207872146, -0.020994235817341493)","(0.6827972926323015, -0.030402597873236317)","(0.9981065311540914, -0.05614594711178239)",0.006710899993777275
0.09049249999999999,"(0.0, 0.0)","(0.05127603929703614, -0.00023334760287078553)","(0.1054891420991268, -0.0009694825034832385)","(0.16320658663108872, -0.002274458608658573)","(0.22520808710420911, -0.0042365856058507855)","(0.2926169454071919, -0.006979529846156207)","(0.36715825750899034, -0.01068775609181668)","(0.4517376010863796, -0.015662747360314443)","(0.5520231627707006, -0.02247445176309704)","(0.6826547752660664, -0.03254608271160773)","(0.9978298102222926, -0.060104061547301635)",0.007104800082743168
0.096492,"(0.0, 0.0)","(0.05127049743442425, -0.0002486906551852552)","(0.10547773996463465, -0.0010332328491577335)","(0.1631884112518737, -0.002424029976989666)","(0.22518148852099132, -0.004515202766921746)","(0.2925793170521588, -0.00743855121216057)","(0.3671056692530264, -0.011390668591521233)","(0.4516641121962697, -0.01669285685989221)","(0.5519192867862315, -0.023952529240700713)","(0.682502724349079, -0.03468645574673353)","(0.9975345972510306, -0.0640563567399387)",0.006257799919694662
0.1024915,"(0.0, 0.0)","(0.05126460744509868, -0.0002640094280110583)","(0.10546562176473895, -0.0010968832738019203)","(0.16316909512115998, -0.0025733687509642733)","(0.22515322194593032, -0.004793389304544496)","(0.29253933142931315, -0.007896866162219596)","(0.36704979009453337, -0.012092501876115413)","(0.4515860293274126, -0.017721385224424818)","(0.5518089236877943, -0.0254283334069748)","(0.6823411865529397, -0.03682352088146932)","(0.9972209865271492, -0.06800246641482556)",0.010385400033555925
0.10849099999999999,"(0.0, 0.0)","(0.05125837070207984, -0.00027930249328445564)","(0.10545279035867891, -0.0011604278996108712)","(0.16314864291999007, -0.00272246124790642)","(0.22512329448878587, -0.005071119888216375)","(0.2924969990318526, -0.008354433149438375)","(0.3669906353415432, -0.012793192489676287)","(0.4515033747532443, -0.018748239521244093)","(0.5516921061270732, -0.026901730714816795)","(0.6821702112658042, -0.038957083926849996)","(0.9968890778182079, -0.07194202794626395)",0.006190499989315867
0.1144905,"(0.0, 0.0)","(0.051251788653588516, -0.0002945684372249973)","(0.10543924876216905, -0.0012238609074437365)","(0.16312705958519874, -0.002871293921620411)","(0.22509171364709032, -0.005348369440365226)","(0.2924523309241281, -0.008811211042951139)","(0.36692822113370344, -0.013492677614710784)","(0.45141617195509354, -0.019773327759075303)","(0.5515688685236941, -0.02837258898245575)","(0.68198985054614, -0.0410869527039345)","(0.9965389762758864, -0.07587468255219287)",0.008044200018048286
